Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09
Special Income and Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.00M,23.00M,-51.00M,,-4.00M,-1.00M,-23.00M,-28.00M,2.00M,-41.00M,4.00M,49.00M,24.00M,37.00M,5.00M,-6.00M,-3.00M
Operating Interest Expense,455.00M,396.00M,383.00M,366.00M,387.00M,358.00M,343.00M,330.00M,338.00M,228.00M,143.00M,139.00M,133.00M,118.00M,116.00M,117.00M,115.00M,116.00M,114.00M,115.00M,74.00M,49.00M,45.00M,42.00M,39.00M,36.00M,33.00M,33.00M,27.00M,22.00M,21.00M,21.00M,20.00M,17.00M,15.00M,12.00M,11.00M,11.00M,9.00M,7.00M,8.00M,7.00M,7.00M,12.00M,11.00M,17.00M,,,,
Operating Interest Income,211.00M,224.00M,215.00M,183.00M,150.00M,117.00M,94.00M,80.00M,65.00M,54.00M,44.00M,39.00M,29.00M,26.00M,24.00M,21.00M,13.00M,13.00M,12.00M,11.00M,8.00M,9.00M,11.00M,11.00M,10.00M,9.00M,9.00M,10.00M,8.00M,10.00M,10.00M,12.00M,14.00M,16.00M,16.00M,15.00M,15.00M,13.00M,12.00M,11.00M,9.00M,7.00M,8.00M,12.00M,16.00M,21.00M,,,,
Net Operating Interest Income,-244.00M,-172.00M,-168.00M,-183.00M,-237.00M,-241.00M,-249.00M,-250.00M,-273.00M,-174.00M,-99.00M,-100.00M,-104.00M,-92.00M,-92.00M,-96.00M,-102.00M,-103.00M,-102.00M,-104.00M,-66.00M,-40.00M,-34.00M,-31.00M,-29.00M,-27.00M,-24.00M,-23.00M,-19.00M,-12.00M,-11.00M,-9.00M,-6.00M,-1.00M,1.00M,3.00M,4.00M,2.00M,3.00M,4.00M,1.00M,0,1.00M,0,5.00M,4.00M,,,,
Other Operating Expenses,65.00M,55.00M,86.00M,-5.00M,85.00M,68.00M,80.00M,63.00M,59.00M,45.00M,66.00M,44.00M,34.00M,32.00M,55.00M,45.00M,35.00M,43.00M,48.00M,44.00M,39.00M,31.00M,28.00M,35.00M,40.00M,11.00M,32.00M,31.00M,38.00M,43.00M,32.00M,46.00M,42.00M,37.00M,41.00M,,,,,,,,,11.00M,,7.00M,-45.00M,,,
Total Operating Expenses,17.39B,15.36B,14.71B,12.76B,13.78B,11.57B,11.34B,10.59B,10.86B,9.428B,8.718B,7.572B,7.808B,6.544B,6.061B,5.504B,5.752B,4.967B,4.685B,4.308B,4.643B,3.853B,3.574B,3.223B,3.353B,2.717B,2.579B,2.292B,2.468B,2.005B,1.883B,1.671B,-1.236B,2.472B,2.187B,1.894B,-665.00M,1.48B,1.314B,1.21B,1.479B,1.013B,914.00M,904.00M,1.099B,845.00M,750.00M,758.00M,890.00M,639.00M
Operating Income,3.879B,3.157B,3.084B,4.42B,3.786B,3.724B,2.983B,1.927B,2.127B,347.00M,628.00M,1.005B,1.255B,575.00M,1.285B,1.071B,1.109B,406.00M,464.00M,255.00M,590.00M,-544.00M,-15.00M,146.00M,510.00M,-25.00M,79.00M,181.00M,405.00M,-28.00M,107.00M,192.00M,260.00M,79.00M,201.00M,355.00M,397.00M,294.00M,295.00M,420.00M,498.00M,260.00M,219.00M,244.00M,249.00M,154.00M,217.00M,198.00M,280.00M,123.00M
Non-Operating Interest Income,211.00M,224.00M,215.00M,183.00M,150.00M,117.00M,94.00M,80.00M,65.00M,54.00M,44.00M,39.00M,29.00M,26.00M,24.00M,21.00M,13.00M,13.00M,12.00M,11.00M,8.00M,9.00M,11.00M,11.00M,10.00M,9.00M,9.00M,10.00M,8.00M,10.00M,10.00M,12.00M,14.00M,16.00M,16.00M,15.00M,15.00M,13.00M,12.00M,11.00M,9.00M,7.00M,8.00M,12.00M,16.00M,21.00M,,,,
Non-Operating Interest Expense,455.00M,396.00M,383.00M,366.00M,387.00M,358.00M,343.00M,330.00M,338.00M,228.00M,143.00M,139.00M,133.00M,118.00M,116.00M,117.00M,115.00M,116.00M,114.00M,115.00M,74.00M,49.00M,45.00M,42.00M,39.00M,36.00M,33.00M,33.00M,27.00M,22.00M,21.00M,21.00M,20.00M,17.00M,15.00M,12.00M,11.00M,11.00M,9.00M,7.00M,8.00M,7.00M,7.00M,12.00M,11.00M,17.00M,,,,
Net Non-Operating Interest Income Expense,-244.00M,-172.00M,-168.00M,-183.00M,-237.00M,-241.00M,-249.00M,-250.00M,-273.00M,-174.00M,-99.00M,-100.00M,-104.00M,-92.00M,-92.00M,-96.00M,-102.00M,-103.00M,-102.00M,-104.00M,-66.00M,-40.00M,-34.00M,-31.00M,-29.00M,-27.00M,-24.00M,-23.00M,-19.00M,-12.00M,-11.00M,-9.00M,-6.00M,-1.00M,1.00M,3.00M,4.00M,2.00M,3.00M,4.00M,1.00M,0,1.00M,0,5.00M,4.00M,,,,
Other Income and Expenses,418.00M,-353.00M,-27.00M,164.00M,-199.00M,-93.00M,-129.00M,239.00M,17.00M,143.00M,137.00M,48.00M,15.00M,8.00M,-14.00M,81.00M,-69.00M,-56.00M,,-130.00M,-95.00M,-50.00M,22.00M,5.00M,-29.00M,9.00M,-38.00M,-77.00M,-49.00M,18.00M,50.00M,-99.00M,19.00M,52.00M,23.00M,-51.00M,106.00M,-4.00M,-1.00M,-23.00M,-28.00M,2.00M,-41.00M,4.00M,49.00M,24.00M,33.00M,3.00M,-7.00M,-3.00M
Net Interest Income,-244.00M,-172.00M,-168.00M,-183.00M,-237.00M,-241.00M,-249.00M,-250.00M,-273.00M,-174.00M,-99.00M,-100.00M,-104.00M,-92.00M,-92.00M,-96.00M,-102.00M,-103.00M,-102.00M,-104.00M,-66.00M,-40.00M,-34.00M,-31.00M,-29.00M,-27.00M,-24.00M,-23.00M,-19.00M,-12.00M,-11.00M,-9.00M,-6.00M,-1.00M,1.00M,3.00M,4.00M,2.00M,3.00M,4.00M,1.00M,0,1.00M,0,5.00M,4.00M,,,,
Pre-Tax Income,4.053B,2.632B,2.889B,4.401B,3.35B,3.39B,2.605B,1.916B,1.871B,316.00M,666.00M,953.00M,1.166B,491.00M,1.179B,1.056B,938.00M,247.00M,362.00M,21.00M,429.00M,-634.00M,-27.00M,120.00M,452.00M,-43.00M,17.00M,81.00M,337.00M,-22.00M,146.00M,84.00M,273.00M,130.00M,225.00M,307.00M,507.00M,292.00M,297.00M,401.00M,471.00M,262.00M,179.00M,248.00M,303.00M,182.00M,208.00M,207.00M,281.00M,124.00M
Provision for Income Taxes,786.00M,494.00M,257.00M,836.00M,327.00M,508.00M,74.00M,287.00M,14.00M,58.00M,467.00M,229.00M,413.00M,229.00M,307.00M,475.00M,452.00M,161.00M,266.00M,71.00M,205.00M,-205.00M,94.00M,73.00M,179.00M,-12.00M,13.00M,-18.00M,194.00M,83.00M,109.00M,43.00M,86.00M,67.00M,49.00M,89.00M,85.00M,79.00M,88.00M,100.00M,84.00M,60.00M,39.00M,69.00M,80.00M,59.00M,46.00M,62.00M,74.00M,44.00M
Income from Continuing Operations,3.268B,2.134B,2.625B,3.561B,3.027B,2.883B,2.534B,1.629B,1.857B,256.00M,197.00M,724.00M,749.00M,252.00M,857.00M,513.00M,482.00M,79.00M,92.00M,-57.00M,214.00M,-437.00M,-126.00M,108.00M,240.00M,-41.00M,-7.00M,82.00M,98.00M,-274.00M,7.00M,130.00M,177.00M,63.00M,191.00M,201.00M,416.00M,231.00M,207.00M,299.00M,384.00M,199.00M,142.00M,177.00M,225.00M,118.00M,158.00M,143.00M,207.00M,80.00M
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,3.268B,2.134B,2.625B,3.561B,3.027B,2.883B,2.534B,1.629B,1.857B,256.00M,197.00M,724.00M,749.00M,252.00M,857.00M,513.00M,482.00M,79.00M,92.00M,-57.00M,214.00M,-437.00M,-126.00M,108.00M,240.00M,-41.00M,-7.00M,82.00M,98.00M,-274.00M,7.00M,130.00M,177.00M,63.00M,191.00M,201.00M,416.00M,231.00M,207.00M,299.00M,384.00M,199.00M,142.00M,177.00M,225.00M,118.00M,158.00M,143.00M,207.00M,80.00M
Normalized Income,2.931B,2.421B,2.650B,3.428B,3.207B,2.962B,2.659B,1.426B,1.840B,139.25M,114.80M,687.53M,739.31M,247.20M,867.35M,464.40M,523.40M,112.60M,92.00M,21.00M,275.75M,-403.17M,-140.30M,104.75M,257.52M,-47.49M,17.70M,132.05M,129.85M,-285.70M,-25.50M,194.35M,177.00M,29.20M,173.01M,237.21M,416.00M,233.92M,207.70M,316.26M,407.01M,197.46M,174.07M,174.11M,188.94M,101.78M,129.18M,139.50M,211.42M,81.94M
EBITDA,10.68B,8.591B,8.474B,9.621B,7.999B,7.526B,6.578B,5.917B,5.707B,3.456B,3.442B,3.527B,3.596B,2.693B,3.204B,3.00B,2.805B,1.962B,1.98B,1.562B,1.883B,662.00M,1.127B,1.172B,1.453B,827.00M,806.00M,814.00M,1.026B,554.00M,652.00M,562.00M,652.00M,425.00M,484.00M,521.00M,687.00M,453.00M,436.00M,527.00M,591.00M,365.00M,270.00M,347.00M,391.00M,275.00M,350.00M,199.00M,416.00M,184.00M
Reconciled Depreciation,6.17B,5.563B,5.202B,4.854B,4.262B,3.778B,3.63B,3.671B,3.498B,2.912B,2.633B,2.435B,2.297B,2.084B,1.909B,1.827B,1.752B,1.599B,1.504B,1.426B,1.38B,1.247B,1.109B,1.01B,962.00M,834.00M,756.00M,700.00M,662.00M,554.00M,485.00M,457.00M,359.00M,278.00M,244.00M,202.00M,169.00M,150.00M,130.00M,119.00M,112.00M,96.00M,84.00M,87.00M,77.00M,76.00M,133.00M,1.00M,63.00M,61.00M
EBIT,4.508B,3.028B,3.272B,4.767B,3.737B,3.748B,2.948B,2.246B,2.209B,544.00M,809.00M,1.092B,1.299B,609.00M,1.295B,1.173B,1.053B,363.00M,476.00M,136.00M,503.00M,-585.00M,18.00M,162.00M,491.00M,-7.00M,50.00M,114.00M,364.00M,0,167.00M,105.00M,293.00M,147.00M,240.00M,319.00M,518.00M,303.00M,306.00M,408.00M,479.00M,269.00M,186.00M,260.00M,314.00M,199.00M,217.00M,198.00M,353.00M,123.00M
